Jugador;Equipo;Posición principal;Posiciones;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases recibidos /90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Goles recibidos;Goles recibidos/90;Remates en contra;Remates en contra/90;Porterías imbatidas en los 90;Paradas, %;xG en contra;xG en contra/90;Goles evitados;Goles evitados/90;Pases hacía atrás recibidos del arquero/90;Salidas/90;Duelos aéreos en los 90;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %;
L. Assadi;Universidad de Chile;AMF;AMF, LCMF;20;3500000;2025-12-31;25;1074;1;1,23;1;1,35;15,84;41,27;Chile;Chile;derecho;172;67;no;2,68;2,26;48,15;0,5;33,33;0;0;0;1,59;2,73;0,34;0;0;0;0;4,78;0,08;1;0,08;0,1;0;0;19;1,59;36,84;5,263;0,08;1,42;41,18;1,17;42,86;0,25;33,33;0,25;5,36;62,5;11,48;41,61;1,17;4,69;1,51;24,3;1,01;1,01;33,94;79,26;10,56;67,46;6,7;88,75;10,89;83,85;30,34;82,04;2,18;65,38;16,15;22,14;0,11;1,17;0,08;0,08;0,75;33,33;0,34;4,78;82,46;2,77;48,48;0,92;36,36;0,92;0,67;4,94;81,36;0;;0;;0;0;0;0;;;0,25;;;0,08;0;0;0,59;0;0;
B. Cortés;Colo Colo;GK;GK;29;3000000;2024-12-31;25;2544;0;0;0;0;0,39;72,73;Chile;Chile;derecho;186;90;no;1,52;0,11;66,67;0,07;100;0,04;0,06;0;1,42;2,58;0;2;0,07;2;0,07;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;100;0,11;66,67;0;0;0;16,66;0,25;0,04;24,69;92,26;9,94;83,63;0;0;13,37;99,21;20,13;98,77;4,53;64,06;26,08;45,74;0;0;0;0;0;0;0;1,24;57,14;0,18;20;0,11;33,33;0,04;0;3,01;65,88;19;0,67;83;2,94;12;77,11;21,33;0,75;2,33;0,082;0;0,74;0,07;;;;0;0;0;
V. Pizarro;Colo Colo;LDMF;LDMF, LCMF;21;2200000;2024-12-31;27;1723;1;1,8;0;1,31;20,11;52,47;Chile;Chile;izquierdo;172;67;no;8,31;6,11;68,38;1,83;57,14;1,1;1,96;0,1;3,03;5,42;0,63;3;0,16;0;0;2,46;0,05;1;0,05;0,09;0;0;20;1,04;30;5;0;0,89;35,29;0,78;33,33;0,1;50;0,1;3,08;55,93;9,92;42,11;1,67;1,25;0,16;38,71;0,52;1,62;50,51;87,9;12,85;72,76;8,67;96,99;19,69;93,1;45,44;91,72;4,39;55,95;17,33;25,86;0,07;0,57;0;0;0,21;50;0,16;6,95;71,43;1,57;70;0,57;27,27;0,89;0,26;5,69;78,9;0;;0;;0;0;0;0;;;0,31;;;0,37;0,05;100;0,89;0;0;
F. Calderón;Universidad de Chile;RCB;RCB, CB;26;2000000;2026-12-31;26;2567;2;2,14;0;0,86;18,93;60,19;Argentina;Argentina;derecho;184;80;no;10,52;7,15;74,02;6,1;52,3;0,28;0,49;0,63;4,94;8,69;1,02;10;0,35;0;0;0,42;0,07;2;0,07;0,08;1;0,04;11;0,39;36,36;18,182;0;0,11;66,67;0;0;0,11;66,67;0;0,35;60;1,58;37,78;0,91;0,49;0;27,8;0,18;0,74;42,81;87,8;15,25;77,93;2,31;92,42;21,04;94,67;39,37;90,92;3,33;51,58;19,59;35,08;0,03;0,14;0;0;0;0;0,11;2,87;68,29;0,35;30;0,07;0;0,18;0,07;6,24;54,49;0;;0;;0;0;0;0;;;1,89;;;0;0;0;0;0;0;
C. Palacios;Colo Colo;AMF;AMF, LWF, CF;24;1800000;2025-12-31;26;2225;7;7,68;4;4,16;18,44;40,57;Chile;Chile;derecho;180;76;no;3,52;3,11;54,55;1,58;35,9;0,28;0,5;0;1,54;2,73;0,85;4;0,16;0;0;3,84;0,28;2;0,08;0,31;0;0;55;2,22;38,18;12,727;0,16;1,05;26,92;0,69;29,41;0,36;22,22;0,24;4,93;46,72;11,41;39,72;2,1;4,53;0,77;40,77;3,03;1,17;49,55;83,27;17,68;78,49;6,47;91,25;14,48;86,03;45,63;85,82;2,91;62,5;15,94;30,9;0,17;2,35;0,16;0,04;0,93;43,48;0,65;8,66;82,24;3,96;59,18;1,01;40;2,43;0,28;8,78;91,71;0;;0;;0;0;0;0;;;0,12;;;0,44;0,2;20;1,82;5;100;
C. Aránguiz;Universidad de Chile;LCMF;LCMF, LDMF;35;1600000;2025-12-31;10;924;1;1,37;0;0,73;19,38;53,77;Chile;Chile;derecho;171;69;no;8,96;6,53;77,61;3,02;51,61;0,39;0,73;0,1;3,51;6,55;0,58;1;0,1;0;0;1,07;0,1;1;0,1;0,13;1;0,1;8;0,78;50;12,5;0;0,78;25;0,29;0;0,49;40;0,1;0,78;37,5;7,21;35,14;1,85;0,29;0;39,55;0,39;1,75;53,08;86,24;20,45;78,57;7,89;98,77;16,95;89,66;48,12;88,87;4,29;65,91;17,58;36,54;0,07;0,78;0,1;0;0,58;33,33;0,29;9,16;81,91;1,75;38,89;0,58;33,33;0,78;0,19;9,45;84,54;0;;0;;0;0;0;0;;;0,49;;;0;0;0;0,1;0;0;
J. Correa;Colo Colo;CF;CF, AMF;31;1500000;2027-12-31;9;702;4;4,27;0;0,12;21,54;39,29;Argentina;Argentina;derecho;186;84;no;3,08;2,69;61,9;4,49;37,14;0;0;0,13;1,41;2,41;1,15;3;0,38;0;0;5,26;0,51;4;0,51;0,55;1;0,13;39;5;41,03;10,256;0;0,77;16,67;0,38;0;0,38;33,33;0,13;4,87;63,16;10,77;38,1;6,41;1,15;0;17,82;1,67;0,51;21,79;72,94;3,72;55,17;5,38;85,71;7,31;77,19;18,97;74,32;2,05;81,25;16,57;21,85;0,02;0,51;0,13;0;0,26;0;0,13;1,79;78,57;1,28;40;0,38;33,33;0,51;0;1,54;66,67;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0;
M. Brasil;Cobreloa;RB;RB, LCB, RDMF;25;1400000;2024-12-31;7;488;0;0,42;0;0;21,95;57,98;Uruguay;Uruguay;derecho;180;73;no;10,88;9,04;63,27;6,27;52,94;1,11;1,53;0,18;4,06;5,59;2,03;2;0,37;0;0;1,29;0;0;0;0,08;0;0;5;0,92;40;0;0;0,37;0;0;0;0,37;0;0;1,11;83,33;3,14;58,82;0,92;0,18;0,18;15,31;1,11;2,21;24,9;78,52;10,7;60,34;3,5;94,74;8,11;90,91;19,18;89,42;5,35;44,83;23,85;37,99;0;0;0;0;0,18;0;0;3,69;65;0,55;0;0,37;0;0;0;5,16;64,29;0;;0;;0;0;0;0;;;0,92;;;0;0;0;0;0;0;
J. Villagra;Colo Colo;LCB;LCB, RCB;23;1300000;2028-12-31;16;1585;1;1,55;0;0;15,1;61,28;Chile;Chile;derecho;183;71;no;9,2;6,81;71,67;4,09;50;0,23;0,33;0,62;4,09;5,89;0,91;2;0,11;0;0;0,62;0,06;1;0,06;0,09;1;0,06;8;0,45;50;12,5;0;0,06;100;0;0;0,06;100;0;0,79;42,86;1,99;40;0,74;0,62;0,23;20,44;0,68;0,68;33,44;85,91;14,65;76,74;2,44;90,7;12,83;94,69;28,68;89,7;4,71;62,65;19,81;36,71;0;0;0,06;0;0;0;0;2,67;61,7;0,28;0;0,17;0;0;0,06;5,05;52,81;0;;0;;0;0;0;0;;;1,7;;;0;0;0;0;0;0;
G. Tapia;Universidad Católica;CF;CF, RW, RAMF;22;1300000;2024-12-31;32;2623;12;8,25;4;3,05;23,09;42,5;Chile;Chile;derecho;178;78;no;4,32;3,81;56,76;4,08;51,26;0,34;0,58;0,1;1,82;3,09;1,3;6;0,21;0;0;4,05;0,41;12;0,41;0,28;4;0,14;73;2,5;49,32;16,438;0,14;2,68;21,79;1;24,14;1,65;20,83;0,31;3,95;55,65;11,7;37,83;3,43;1,61;0,65;11,43;1,99;2,09;16,02;73,23;2,74;63,75;4,67;91,91;5,18;65,56;12,46;84,85;1,06;58,06;20,42;23,28;0,1;0,86;0,07;0,03;0,07;50;0,65;0,82;70,83;1,96;42,11;0,1;66,67;0,45;0,72;2,09;77,05;0;;0;;0;0;0;0;;;0;;;0,07;0;0;0,03;0;0;
